Producers,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Music,Mystery,Romance,Science,Thriller,War,Western
DRO Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DW Studios,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Da Vinci Media Ventures,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Dan Curtis Productions,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dangerous Method Film AG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Daniel Bobker Productions,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
Danish Film Institute,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Danjaq,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Danmarks Radio (DR),0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0
Danny the Dog Prods Ltd.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Entertainment,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0
Dark Castle Entertainment,7,1,0,0,6,0,0,0,0,0,0,0,7,0,6,0,0,11,0,0
Dark Harbor Stories,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Dark Horse Entertainment,5,3,0,4,3,0,0,0,5,4,0,0,2,0,0,1,4,2,0,0
Dark Lot Entertainment,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Dark Trick Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Darko Entertainment,1,1,0,3,0,0,1,0,0,2,0,0,1,0,0,1,2,2,0,0
Darkwoods Productions,0,0,0,0,1,0,3,0,1,1,0,0,1,0,1,1,1,2,0,0
Darryl F. Zanuck Productions,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Dartmouth International,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
David Brown Productions,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0
David Dobkin Productions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Foster Productions,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,1,0
David Kirschner Productions,1,1,2,1,1,0,1,2,0,1,0,0,0,1,0,0,1,1,0,0
David L. Wolper Productions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
David Ladd Films,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Davis Entertainment,14,10,1,9,0,0,8,6,4,10,0,0,3,0,3,2,10,14,1,0
Davis Films,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Davis-Films,7,3,0,0,3,0,2,0,2,4,0,0,6,0,3,1,4,3,0,0
Davis-Panzer Productions,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
Dawliz,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Daybreak,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daybreak Productions,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Dayday Films,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
De Fina-Cappa,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
De Laurentiis Entertainment Group,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
De Line Pictures,6,4,1,5,2,0,1,1,0,2,0,0,0,0,0,1,2,4,0,0
De Milo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
De Wolfe Music,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DeBart,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dead Crow Productions,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
Dead Films,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Dear Film Produzione,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Debra Hill Productions,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Decibel Films,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Dee Gee Entertainment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep River Productions,1,1,0,3,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
Degeto Film,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0
Delphi Films,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Delphi II Productions,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
Delphi III Productions,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deluxe Digital Studios,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Demarest Films,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
Dentsu,7,2,1,3,2,0,3,1,1,2,0,1,1,0,0,1,2,5,2,0
Dentsu Inc.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Denver and Delilah Productions,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Depth Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depth of Field,0,1,0,2,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0
Desertlands Entertainment,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Destination Films,1,1,0,2,0,0,4,0,1,1,0,0,0,0,0,0,1,1,0,0
Det Danske Filminstitut,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
Detour Film Production,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Detour Filmproduction,1,0,1,1,2,0,4,0,0,1,0,0,0,0,0,1,1,1,0,0
Deuce Three Productions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deutsche Filmförderfonds (DFFF),2,0,0,1,1,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0
Dharma Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Di Bonaventura Picture,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Di Bonaventura Pictures,12,9,0,1,4,0,4,1,1,6,0,0,2,0,2,1,6,9,0,0
DiNovi Pictures,1,1,0,3,1,0,5,0,1,0,0,0,0,0,0,4,0,0,0,0
Diamond Films,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Diaphana Films,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0
Dickhouse Productions,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dieter Geissler Filmproduktion,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Digital Domain,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Digital Image Associates,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,0,0
Dillinger Productions,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Dimension Films,12,5,0,14,5,0,3,4,2,7,0,0,20,0,6,1,7,17,0,0
Dimension Films (US version),0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dino De Laurentiis Company,10,6,0,1,3,0,6,0,4,3,0,1,2,0,0,2,3,7,2,0
Dino de Laurentiis Cinematografica,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
Dirty Hands Productions,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Disney,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Disney Double Dare You (DDY),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Disney Toon Studio,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Disney World Cinema,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
DisneyToon Studios,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Disruption Entertainment,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Distant Horizons,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Distant Planet Productions,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
District 9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Division Films,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DoRo Fiction Film,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Dog Eat Dog Films,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dog Eat Dog Productions Inc.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dog Run Pictures,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Dollface,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Dolly Hall Productions,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Dominion Productions,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Domino 17521,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Carmody Productions,3,2,0,0,1,0,2,0,0,0,0,1,1,0,3,2,0,2,0,0
Don Simpson/Jerry Bruckheimer Films,5,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
Donner/Shuler-Donner Productions,3,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0
Donners' Company,9,10,0,1,1,0,1,0,2,9,0,0,0,0,0,0,9,4,0,0
Doom Buggy Productions,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
Doom Productions,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Doosabu Film,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Dos Corazones,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Double Feature Films,1,1,0,4,6,0,12,0,0,1,0,1,1,0,3,2,1,5,0,1
Double Negative,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Double Nickel Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas/Reuther Productions,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Dovemead Films,3,3,0,1,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0
Down Productions,1,2,0,2,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0
Dozen Canada Productions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr D Studios,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drafthouse Films,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonfly Entertainment,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
DreamWorks,1,1,1,0,1,0,4,1,2,0,0,1,2,0,1,1,0,3,0,0
DreamWorks Animation,4,20,31,20,0,0,1,30,9,3,0,0,0,1,0,0,3,0,0,1
DreamWorks Pictures,2,1,0,2,0,0,3,0,1,2,0,1,0,1,0,0,2,0,0,0
DreamWorks SKG,18,19,10,25,4,0,34,13,6,11,0,5,2,1,6,11,11,16,4,1
DreamWorks Studios,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreamachine,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Dreamagine Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreambridge Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dreams of Dragon Picture,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Dreamworks Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dribble Productions,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DumbDumb,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dune Entertainment,21,17,1,23,5,0,14,10,12,13,0,1,4,1,1,5,13,15,0,0
Dune Entertainment III,5,6,0,13,2,0,8,4,2,5,0,0,0,0,1,4,5,6,0,0
Dune Films,2,3,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,3,1
Dunulf Productions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duplass Brothers Productions,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
Dylan Sellers Productions,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EDKO Film,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0
EFTI,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ELC Productions Ltd.,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EM Media,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EMC Produktion,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
EMI Films,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
EMI Films Ltd.,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0
EMJAG Productions,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
EOS Entertainment,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
ETIC Films,1,1,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,2,0,0
Eagle Beach Productions,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Eagle Vision Inc.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Earth Canada Productions,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
Easy There Tiger Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ebeling Group,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Echo Films,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Echo Lake Productions,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Eclectic pictures,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eclipse Catering,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ecosse Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ed Friendly Productions,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Murphy Productions,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden Roc Productions,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Eden Rock Media,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eden Wurmfeld Films,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edge City,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
Edith Film Oy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Edition Video,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Edmonds Entertainment Group (EEG),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edward R. Pressman Film,1,0,0,0,3,0,4,0,1,0,0,0,0,0,1,1,0,2,0,0
Edward Small Productions,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Egg Films,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Egmond Film & Television,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
Egoli Tossell Film AG,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0
Ehman Productions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eidos Interactive,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
Eigerwand Pictures,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eketahuna LLC,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
El Deseo,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Electric City Entertainment,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Entertainment,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Electric Shepherd Productions,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
Electronic Arts,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Elektra Productions,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Element Films,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Element Pictures,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Elevation Filmworks,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Elevation Pictures,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eleventh Street Production,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Elle Driver,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Elías Querejeta Producciones Cinematográficas S.L.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Embargo Films,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emergency Films,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Emmett/Furla Films,8,1,0,1,8,0,6,0,0,0,0,0,0,0,0,0,0,10,1,0
Emmitt Productions Limited,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emperor Motion Pictures,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Empire Pictures,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Enchanted Productions,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Endgame Entertainment,1,1,0,2,2,0,7,0,0,2,0,1,3,1,1,2,2,6,1,0
"Enelmar Productions, A.I.E.",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Energy Entertainment,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0
Enigma Productions,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Entertainment Film Distributors,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entertainment Films,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Entertainment Manufacturing Company,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Entertainment Media Investment Corporation,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Entertainment One,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Envision Entertainment,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0
Envision Entertainment Corporation,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0
Eon Productions,22,22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,22,0,0
Epidemic Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epithète Films,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Epsilon Motion Pictures,9,2,0,9,9,0,14,0,2,1,0,0,0,0,5,6,1,13,0,0
Equity Pictures Medienfonds GmbH & Co. KG II,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Equity Pictures Medienfonds GmbH & Co. KG III,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eric's Boy,0,1,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
Erste MMC-Production,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Escape Artists,4,2,0,6,2,0,8,0,0,1,0,0,0,0,1,4,1,2,0,0
Esparza / Katz Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Esperanto Filmoj,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0
Essential Media & Entertainment,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Estudios Picasso,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Etalon film,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Euforia Film,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eurasia Film Production,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eurimages,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0
Euro Film Funding,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Euroimages Fund of the Council of Europe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
EuropaCorp,17,2,1,3,13,0,8,1,1,3,0,0,0,0,1,1,3,13,0,3
Eurotrustees,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Evamere Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Evansgideon/Lazar,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Everest Entertainment,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Evergreen Films,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Evergreen MD,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Evergreen Media Group,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
Everyman Pictures,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0
Evil Twins,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Evolution Entertainment,0,0,0,0,3,0,1,0,0,0,0,0,3,0,1,0,0,2,0,0
Ex3 Productions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Exception Wild Bunch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Exclusive Media Group,2,0,0,2,2,0,8,0,0,0,0,0,2,2,2,2,0,4,0,0
Exponential Films,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Extension 765,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Extreme Productions,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eyescreen S.r.l.,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyetronics,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
FGM Entertainment,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
FOZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fabula,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Face Productions,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Failure to Launch Productions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairview Entertainment,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Fake Empire,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Falcon International Productions,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Faliro House Productions,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0
Fallingcloud,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Family of the Year Productions,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Famous Films (II),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Famous Players Ltd,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Fandango,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fantail Films Inc.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Fantasy Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Farah Films & Management,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Farewell Productions,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Farraday Films,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Farrell/Minoff,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast Track Productions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fat Free,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fear and Loathing LLC,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear of God Films,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Feature Film Project,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
Feelgood Entertainment,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Feigco Entertainment,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fellah Pictures,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Fellowship Adventure Group,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidélité Films,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Fidélité Productions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fierce Entertainment,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Figment Films,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,1,1,2,0,0
Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I),0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Film 111,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Film 4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
Film 44,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0
