Index,Actors,Number of movies,Number of awards,Genres
1400,Sasha Jenson,29,0,Comedy Drama 
1401,Garette Ratliff-Henson,29,1,Adventure Comedy Drama Horror Romance 
1402,Alonso Barona,29,4,Action Adventure 
1403,Olivia Luccardi,29,0,Horror Thriller 
1404,Amy Schumer,29,1,Comedy 
1405,Rene Russo,29,1,Action Adventure Animation Comedy Crime Drama Family Fiction Romance Science Thriller 
1406,Dan Futterman,29,2,Comedy Crime Drama Romance Thriller 
1407,M\u00e9lanie Thierry,29,1,Action Adventure Fiction Science Thriller 
1408,Jessica Lucas,29,0,Action Adventure Drama Fantasy Fiction History Horror Romance Science Thriller 
1409,Vanessa Ferlito,29,1,Action Horror Thriller 
1410,Brian Boland,29,0,Horror Thriller 
1411,Jay Chandrasekhar,29,9,Comedy Crime Horror Mystery 
1412,Mitsunori Isaki,29,0,Adventure Animation Fantasy 
1413,Amber Valletta,29,0,Action Comedy Crime Drama Family Fiction Romance Science Thriller 
1414,Max Ryan,29,2,Action Crime Thriller 
1415,Ryan Cartwright,29,1,Action Adventure Comedy Romance 
1416,Seamus Davey-Fitzpatrick,29,2,Drama Romance 
1417,Colleen Rennison,29,10,Comedy Drama Romance 
1418,Julia Garner,29,1,Horror Thriller 
1419,Liam Hemsworth,29,24,Action Adventure Fantasy Fiction Science Thriller 
1420,Jimmy Nail,29,2,Drama History Music 
1421,Tupac Amaru-Shakur,29,11,Documentary Drama Music Romance 
1422,Kacey Clarke,29,0,Action Adventure Fiction Horror Science 
1423,Mike Estes,29,0,Comedy Horror 
1424,Catherine Kresge,29,1,Horror 
1425,Jasmine Jessica-Anthony,29,6,Horror Thriller 
1426,Charlie Hunnam,29,8,Action Adventure Drama Fiction Mystery Science Thriller 
1427,Jaffrey Tanaaz,29,1,Animation Family Foreign 
1428,Currim Irani,29,1,Animation Family Foreign 
1429,Arsher Ali,29,1,Comedy Crime Drama 
1430,Garry Shandling,29,2,Animation Comedy Family Romance 
1431,Philip Winchester,29,0,Action Adventure Drama History Romance 
1432,Eric Sheffer,29,1,Horror Mystery 
1433,Nadia Townsend,29,1,Action Adventure Drama Fiction Mystery Science 
1434,Shanley Caswell,29,1,Horror Thriller 
1435,Kimberly J.-Brown,29,15,Comedy Drama 
1436,Q'orianka Kilcher,29,14,Drama History Romance 
1437,Sara Lazzaro,29,0,Drama 
1438,Martijn Lakemeier,29,4,Drama History War 
1439,Gabrielle Fitzpatrick,29,0,Action Comedy Crime 
1440,Kate Capshaw,29,0,Action Adventure Crime Thriller 
1441,Tyra Banks,29,15,Comedy 
1442,Jesse Williams,29,9,Horror Thriller 
1443,Terry Gilliam,29,1,Adventure Comedy Fantasy 
1444,KaDee Strickland,29,3,Action Adventure Fiction Horror Science Thriller 
1445,Marianne Hagan,29,0,Horror Thriller 
1446,Darrell Britt-Gibson,29,2,Action Comedy 
1447,Ken Sagoes,29,2,Horror Thriller 
1448,Trey Parker,29,1,Action Adventure Animation Comedy Music 
1449,Matt Stone,29,5,Action Adventure Animation Comedy Music 
1450,Chris Young,29,1,Comedy 
1451,Jesse Metcalfe,29,4,Drama 
1452,Stefanie Scott,29,8,Drama Horror Thriller 
1453,Laurence Fox,29,3,Drama History Romance 
1454,Santino Fontana,29,3,Adventure Animation Family 
1455,Miles Teller,30,26,Action Adventure Comedy Drama Fiction Romance Science Thriller 
1456,Natalie Martinez,30,0,Action Crime Drama Fiction Mystery Science Thriller 
1457,Kiele Sanchez,30,2,Horror Thriller 
1458,Daniel Day-Lewis,30,3,Action Adventure Comedy Crime Drama History Music Romance 
1459,Rebecca Ferguson,30,1,Action Adventure Comedy Drama Thriller 
1460,Ian Charleson,30,0,Drama History 
1461,Emily Meade,30,2,Adventure Crime Mystery 
1462,Maika Monroe,30,9,Action Adventure Fiction Horror Science Thriller 
1463,Emily Barclay,30,10,Adventure Animation Family Fantasy 
1464,Paul Anderson,30,0,Adventure Drama Thriller Western 
1465,Emily Browning,30,14,Action Adventure Crime Drama Fantasy History Romance Thriller 
1466,Tom Holland,30,34,Action Adventure Comedy Drama History Romance Thriller 
1467,Michelle Morgan,30,1,Action Fiction Horror Science 
1468,Gal Gadot,30,26,Action Adventure Fantasy 
1469,Sophie Kennedy-Clark,30,3,Drama 
1470,Charlie Yeung,30,4,Action Crime Thriller 
1471,Harry Treadaway,30,2,Adventure Drama Family Fantasy 
1472,Logan Marshall-Green,30,5,Adventure Fiction Horror Mystery Science Thriller 
1473,Alison Lohman,30,11,Drama Horror Thriller 
1474,Olivier Martinez,30,4,Adventure Drama Romance Thriller War 
1475,Choi Min-sik,30,33,Action Drama Fiction Mystery Science Thriller 
1476,Brittany Daniel,30,5,Adventure Comedy Drama Fiction Mystery Romance Science 
1477,Wentworth Miller,30,1,Action Adventure Fiction Horror Science 
1478,Rachel Melvin,30,2,Comedy 
1479,Tika Sumpter,30,5,Action Comedy 
1480,Sofia Vassilieva,30,3,Drama 
1481,Allison Miller,30,0,Comedy Horror 
1482,Mo'Nique,30,1,Action Crime Drama 
1483,Ranbir Kapoor,30,67,Romance 
1484,Jennifer Hudson,30,1,Adventure Drama Music 
1485,Emory Cohen,30,11,Crime Drama Romance 
1486,Oona Laurence,30,4,Action Adventure Drama Family Fantasy 
1487,Emily Deschanel,30,13,Drama Horror Mystery Thriller 
1488,Oliver Cooper,30,2,Comedy Crime 
1489,Roma Downey,30,2,Drama 
1490,Chris Zylka,30,1,Horror Thriller 
1491,Shaun Evans,30,1,Drama 
1492,Mary Stein,30,0,Adventure Comedy Drama Family Fantasy 
1493,Julanne Chidi-Hill,30,0,Action Crime Thriller 
1494,Michael C.-Hall,30,1,Action Fiction Science Thriller 
1495,Riley Keough,30,1,Drama Music 
1496,Kristen Connolly,30,1,Horror Thriller 
1497,Betsy Rue,30,0,Horror Mystery 
1498,Kieran Culkin,30,2,Action Adventure Comedy Drama 
1499,M\u00e9lissa D\u00e9sormeaux-Poulin,30,4,Drama Mystery War 
1500,A.J. Cook,30,1,Horror Mystery 
1501,Tom Hulce,30,1,Animation Comedy Drama Family History Music 
1502,Charlotte Lewis,30,0,Action Adventure Comedy 
1503,Redman ,30,1,Comedy Drama Horror 
1504,Analeigh Tipton,30,0,Comedy Horror Romance 
1505,Michael Blodgett,30,0,Comedy Drama Thriller 
1506,Redman,30,1,Comedy Drama Horror 
1507,D. Lewis,30,3,Comedy 
1508,Roseanne Barr,30,1,Animation Family 
1509,David Masajnik,31,0,Adventure Animation Romance 
1510,Jeremy Sheffield,31,3,Comedy Romance 
1511,Kodi Smit-McPhee,31,26,Adventure Animation Comedy Drama Family Horror Mystery 
1512,Thomas Ian-Griffith,31,0,Action 
1513,T\u00f3mas Lemarquis,31,6,Action Crime Drama Thriller 
1514,Miriama Smith,31,3,Action Adventure Drama Family 
1515,Eli Roth,31,25,Action Drama Thriller War 
1516,Jacob Tremblay,31,56,Drama Thriller 
1517,Alexis Bledel,31,1,Comedy Crime Drama History 
1518,Eddie Redmayne,31,1,Action Adventure Drama Fantasy Fiction Romance Science 
1519,Andrew Garfield,31,1,Action Adventure Drama Fantasy Fiction History Romance Science 
1520,Nikki Reed,31,13,Crime Drama 
1521,Jerry Grayson,31,0,Drama Music 
1522,Rupert Friend,31,1,Comedy Drama Romance War 
1523,Rana Daggubati,31,9,Action Adventure History War 
1524,Anna Ardova,31,2,Animation Fantasy 
1525,Samuel Barnett,31,2,Comedy Drama 
1526,Ana de,31,3,Comedy Family 
1527,Allen Leech,31,14,Drama History Thriller War 
1528,Matthew Davis,31,0,Action Adventure Comedy Fantasy Horror 
1529,Joy Bryant,31,7,Comedy Drama Family Horror Music Mystery Romance Thriller 
1530,Joe Cole,31,3,Crime Horror Thriller 
1531,Adam Alexi-Malle,31,0,Adventure Western 
1532,Zoe Kazan,31,1,Comedy Drama Romance 
1533,Andrew Wilson,31,6,Comedy Crime Drama 
1534,Harry Secombe,31,1,Drama Family Music 
1535,Emma Bunton,31,7,Adventure Comedy Drama Fantasy Music 
1536,Brady Bluhm,31,0,Comedy 
1537,Dakota Johnson,31,23,Comedy Crime Drama Romance Thriller 
1538,Erica Ash,31,3,Comedy 
1539,Lauren German,31,1,Drama Horror Romance 
1540,Steve Burton,31,17,Action Drama Thriller 
1541,Lance Gross,31,5,Comedy 
1542,Soha Ali-Khan,31,3,Drama 
1543,Matt Bennett,31,0,Comedy 
1544,John Shepherd,31,0,Horror Thriller 
1545,Charlie Tahan,31,3,Action Animation Comedy Drama Family Fiction Horror Science Thriller 
1546,Marion O'Dwyer,31,0,Drama Romance 
1547,Michele Lamar-Richards,31,0,Action Drama Music Romance Thriller 
1548,Gabriel Rush,31,8,Drama Romance 
1549,Guillaume Denaiffe,31,1,Documentary 
1550,Mads Sjøgård-Pettersen,31,1,Comedy Drama History 
1551,Jamie Blackley,31,1,Drama 
1552,Maxim Gaudette,31,5,Drama Mystery War 
1553,Amber Smith,31,0,Comedy Crime Drama 
1554,Werner Herzog,31,1,Crime Drama Thriller 
1555,Scott Elrod,31,0,Drama 
1556,Jerry Ferrara,31,5,Comedy Romance 
1557,David Lyons,31,9,Romance 
1558,Brian Downey,31,1,Action Comedy Thriller 
1559,Elvis Presley,31,18,Action Drama Music Romance Western 
1560,Chloe Webb,31,1,Comedy 
1561,Ryan Kelley,31,3,Crime Drama 
1562,Carey Mulligan,32,1,Action Crime Drama Fiction Music Romance Science Thriller 
1563,Akosua Busia,32,3,Drama 
1564,Oprah Winfrey,32,2,Comedy Drama Family Fantasy 
1565,Linda Fiorentino,32,1,Action Adventure Comedy Fantasy Fiction Mystery Romance Science Thriller 
1566,Jennifer Carpenter,32,28,Crime Drama Fiction Horror Science Thriller 
1567,Lusia Strus,32,2,Comedy Romance 
1568,Gia Mantegna,32,2,Action Thriller 
1569,Lieux Dressler,32,0,Fiction Horror Science 
1570,Jordana Brewster,32,12,Action Crime Fiction Horror Mystery Science Thriller 
1571,Travis Fimmel,32,1,Action Adventure Fantasy 
1572,Patricia Velásquez,32,0,Crime Mystery Thriller 
1573,Matthew Gray-Gubler,32,6,Animation Comedy Drama Family Fantasy Music Romance 
1574,Emily Procter,32,0,Comedy Crime 
1575,Cory Monteith,32,12,Adventure Comedy Romance 
1576,Austin Stowell,32,1,Drama 
1577,Carlos Pratts,32,3,Horror Thriller 
1578,Perdita Weeks,32,0,Horror Thriller 
1579,Skylar Astin,32,5,Comedy Music Romance 
1580,Kristen Wilson,32,0,Action Adventure Comedy Drama Family Fantasy Romance Thriller 
1581,January Jones,32,2,Action Adventure Crime Drama Mystery Thriller Western 
1582,Justin Bartha,32,3,Action Adventure Comedy Drama Mystery Thriller 
1583,Li Bingbing,32,21,Action Adventure Drama Fantasy Fiction History Horror Science War 
1584,Jake Sandvig,32,0,Comedy Drama Romance 
1585,Donny Alamsyah,32,1,Action Crime Thriller 
1586,Park Hae-il,32,11,Drama Fiction Horror Science 
1587,Moon Bloodgood,32,4,Action Adventure Comedy Drama Family Fiction Romance Science Thriller 
1588,Aaron Stanford,32,3,Comedy Drama Horror Romance Thriller 
1589,Chuck Campbell,32,0,Fiction Horror Science 
1590,Liana Liberato,32,4,Crime Drama Romance Thriller 
1591,Luca Calvani,32,0,Action Adventure Comedy 
1592,Adelaide Clemens,32,1,Horror Mystery Thriller 
1593,Lauren Cohan,32,3,Horror Mystery Thriller 
1594,Mason Cook,32,3,Action Comedy Family 
1595,Jake T.-Austin,32,16,Adventure Animation Comedy Drama Family 
1596,Adam Campbell,32,0,Action Adventure Comedy 
1597,Martha Carbonell,32,0,Horror Mystery 
1598,Scott Eastwood,32,3,Drama Romance 
1599,Nat Wolff,32,11,Drama Mystery Romance 
1600,Thomas Mann,32,5,Comedy Crime 
1601,Katy Mixon,32,3,Drama Thriller 
1602,Matt LeBlanc,32,1,Adventure Family Fiction Science 
1603,Rebecca Pidgeon,32,6,Crime Drama Mystery Thriller 
1604,Vanity,32,3,Action Adventure Comedy Crime Drama 
1605,Alison Doody,32,0,Action Adventure 
1606,Rodney A.-Grant,32,2,Adventure Drama Western 
1607,Trace Adkins,32,4,Comedy Fantasy 
1608,Nick Zano,32,0,Horror Mystery 
1609,Haley Webb,32,8,Horror Mystery 
1610,Sarah Trigger,32,0,Comedy 
1611,Aimee Teegarden,32,4,Comedy 
1612,Grace Kelly,32,1,Western 
1613,John Stockwell,32,1,Comedy 
1614,Jim Breuer,32,0,Comedy Crime 
1615,Idina Menzel,32,20,Adventure Animation Family 
1616,Brian Murray,32,1,Adventure Animation Family Fantasy Fiction Science 
1617,Dana Kimmell,33,2,Action Crime Drama Horror Romance Thriller 
1618,Johnny Simmons,33,1,Comedy Family Horror Romance 
1619,Zach Gilford,33,7,Comedy Horror Thriller 
1620,Jennifer Lawrence,33,1,Action Adventure Comedy Crime Drama Fantasy Fiction Horror Romance Science Thriller 
1621,Dane DeHaan,33,7,Action Adventure Crime Drama Fantasy Fiction Music Science Thriller 
1622,Patricia Heaton,33,2,Comedy 
1623,Jason Momoa,33,6,Action Crime Thriller 
1624,Harry Connick-Jr.,33,2,Adventure Animation Comedy Drama Family Fantasy Fiction Romance Science 
1625,Teresa Palmer,33,9,Action Adventure Comedy Crime Drama Fantasy Fiction Horror Romance Science Thriller 
1626,Lea Coco,33,1,Horror 
1627,Ty Simpkins,33,4,Horror Thriller 
1628,Jasmine Trinca,33,31,Action Crime Drama 
1629,Jamie Bell,33,1,Action Adventure Animation Comedy Crime Drama Fantasy Fiction Music Mystery Science Thriller 
1630,Jeremy Sumpter,33,7,Crime Drama Thriller 
1631,Michelle Dockery,33,1,Action Fiction Mystery Science Thriller 
1632,Bridgette Wilson,33,0,Action Adventure Comedy Drama Fantasy Horror Mystery Romance Thriller 
1633,Marilyn Monroe,33,1,Action Comedy Crime Drama Romance Thriller 
1634,Lorraine Gary,33,2,Action Adventure Comedy Horror Thriller 
1635,John Gallagher-Jr.,33,3,Drama Fiction Science Thriller 
1636,Joe Viterelli,33,1,Comedy Crime Romance 
1637,Nathalie Boltt,33,1,Fiction Science 
1638,Thomas Sadoski,33,0,Drama 
1639,Johnny Lewis,33,0,Drama Music Romance 
1640,Una Damon,33,0,Action Adventure Fiction Horror Science 
1641,Dany Verissimo-Petit,33,0,Action Fiction Science Thriller 
1642,Purab Kohli,33,5,Action Drama History Thriller 
1643,Leonard Frey,33,1,Drama Romance 
1644,Danneel Ackles,33,0,Comedy Romance 
1645,Carlo Cecchi,33,9,Drama Music Mystery Romance Thriller 
1646,Saoirse Ronan,33,3,Action Adventure Drama Family Fantasy Fiction Romance Science Thriller 
