Index,Actors,Number of movies,Number of awards,Genres
1,Cole Konis,1,0,Action War 
2,Gary G.,1,0,Action Comedy 
3,Moreland Scott,1,0,Drama Fiction Science Thriller 
4,George W.-Bush,1,2,Documentary 
5,Jerry Marshall,1,0,Adventure Thriller 
6,Kelan Pannell,1,0,Comedy Drama Romance 
7,DJ Flava,1,0,Drama Fiction Science 
8,Yuria Nara,1,0,Animation Family 
9,Nirattisai Kaljaruek,1,1,Action Crime Thriller 
10,Rebecca Griffiths,1,0,Drama 
11,Max Lewis,1,0,Drama Romance 
12,Zekeria Ebrahimi,1,1,Drama 
13,Ahmad Khan-Mahmoodzada,1,2,Drama 
14,Jordi Moll\u00e0,1,0,Action Adventure Comedy Crime Fiction Science Thriller 
15,Demi Leon,1,0,Action Comedy Crime Drama Mystery Western 
16,Gautam Belur,1,0,Action Adventure Drama 
17,Jesse Kuhn,1,0,Drama Fantasy 
18,Elizabeth Mkandawie,1,0,Fiction Science 
19,David Bierend,1,0,Horror Thriller 
20,Esther Wurmfeld,1,0,Comedy 
21,Hillel Friedman,1,0,Comedy 
22,Ari Folman,1,2,Animation Drama War 
23,Jr. Corey,1,0,Drama Music 
24,Brown Jr.,1,0,Drama Music 
25,Laure Mattos,1,0,Fiction Horror Science 
26,Stan Collymore,1,0,Crime Mystery Thriller 
27,Bill Johnson,1,1,Horror 
28,Ian Michael-Smith,1,2,Comedy Drama Family 
29,Jennifer Prior,1,0,Drama Romance 
30,Charlotte Prior,1,0,Drama Romance 
31,Tommaso Puntelli,1,0,Drama Music Mystery Romance Thriller 
32,Samuele Amighetti,1,0,Drama Music Mystery Romance Thriller 
33,Beverly Peckous,1,0,Drama History War 
34,Lee Briggs,1,0,Action Adventure Drama Thriller 
35,Angelo Josue,1,0,Drama Horror Thriller 
36,Lozano Corzo,1,0,Drama Horror Thriller 
37,Anna Hoelck,1,0,Adventure Animation Comedy Family 
38,Jeffrey Kleiser,1,0,Adventure Drama Romance 
39,Adam Boyd,1,0,Comedy Horror 
40,Peter Ostrum,1,0,Family Fantasy 
41,Chris WIllis,1,1,Drama 
42,Elijah Smith,1,0,Drama 
43,Ferguson Riley,1,0,Drama Romance 
44,Thomas Stewart,1,0,Drama Romance 
45,Connor Funk,1,1,Adventure Animation Family 
46,A. Sanchez,1,0,Animation Comedy Family 
47,Vasilios Mantagas,1,0,Drama 
48,Taylor Ross,1,0,Horror Mystery 
49,Corinne Cl\u00e9ry,1,0,Action Adventure Fiction Science Thriller 
50,Goran Kosti\u0107,1,0,Drama Romance War 
51,Bob Barr,1,0,Comedy 
52,Hunter McCracken,1,5,Drama Fantasy 
53,Finnegan Williams,1,0,Drama Fantasy 
54,Dillon Freasier,1,2,Drama 
55,Karen McLymont,1,0,Action Comedy Crime 
56,Chi Cao,1,1,Drama Romance 
57,Chengwu Guo,1,0,Drama Romance 
58,Wen Bin-Huang,1,0,Drama Romance 
59,Gary 'G.,1,0,Action Comedy 
60,Eythor Gudjonsson,1,0,Horror 
61,Jana Kaderabkova,1,0,Horror 
62,Kim De-Angelo,1,0,Action Adventure Fiction Science 
63,Tyra Kwao-Vovo,1,0,Drama 
64,Antonio Monroy,1,0,Action Adventure Drama Thriller 
65,Keith Wayne,1,0,Horror 
66,Epps Anna,1,0,Comedy 
67,Coronji Calhoun,1,0,Drama Romance 
68,Adrienne Shaw,1,0,Drama Fiction Science 
69,Isaac-Kennedyvio Augusto,1,0,Drama 
70,Nora McMenamy,1,0,Drama 
71,Emilio Tuki-Hito,1,0,Adventure 
72,Nacio Herb-Brown,1,1,Drama Music Romance 
73,Andree Moss,1,0,Comedy 
74,Carolyn Moss,1,0,Comedy 
75,Sajan Bhagat,1,0,Crime Drama 
76,Benjamin Weir,1,0,Crime Drama Mystery Thriller 
77,Michael E.-Williamson,1,0,Drama Thriller 
78,Christina Zenato,1,0,Drama Thriller 
79,Lina Boudreau,1,0,Adventure Animation Comedy Drama 
80,Robert Morgan,1,1,Drama Family Foreign 
81,Harry Simpson,1,0,Crime Horror Thriller 
82,Hendrick Alaistair,1,0,Drama Music Romance 
83,Foley,1,8,Action Adventure Documentary Drama Horror Music Mystery Romance Thriller 
84,Alex Barringer,1,0,Action Adventure Comedy Family Fantasy 
85,Hugh Walsh,1,0,Drama Music Romance 
86,Gerard Hendrick,1,0,Drama Music Romance 
87,Alaistair Foley,1,0,Drama Music Romance 
88,Farrokh Hashemian,1,0,Comedy Drama Family 
89,Bahare Seddiqi,1,0,Comedy Drama Family 
90,Joe Bishop,1,0,Documentary 
91,John P.,1,3,Comedy Crime Drama Romance Thriller 
92,Tenzin Thuthob,1,0,Drama 
93,Migyur Khangsar,1,0,Drama 
94,Gyurme Tethong,1,0,Drama 
95,Herman Osorio,1,0,Drama Romance 
96,Dennis Storh\u00f8i,1,1,Action Adventure Fantasy 
97,Joan Baez,1,5,Documentary History Music 
98,Deems Taylor,1,0,Animation Family Music 
99,Peter Behn,1,0,Animation Drama Family 
100,Stan Alexander,1,0,Animation Drama Family 
101,Darci Kistler,1,0,Family Fantasy Music 
102,Damian Woetzel,1,0,Family Fantasy Music 
103,Simon Chuckster,1,0,Action Drama Romance 
104,Hubert Scales,1,0,Action Drama Romance 
105,Ricardo Dar\u00edn,2,0,Crime Drama Mystery Romance 
106,Dianne Reeves,2,6,Drama History 
107,Ken Bevel,2,0,Drama 
108,Stephen Dervan,2,0,Drama 
109,George McLaren,2,2,Drama Fantasy 
110,Riley Griffiths,2,4,Fiction Mystery Science Thriller 
111,Kyalo Mativo,2,0,Adventure Thriller 
112,Rick Glassey,2,0,Adventure Thriller 
113,Harris Sung,2,14,Action Crime Thriller 
114,Brian H.-Dierker,2,2,Adventure Drama 
115,Hiroki Doi,2,0,Animation Family 
116,Ana López-Mercado,2,0,Drama Romance 
117,Jerzy Kosinski,2,1,Drama History 
118,Kagiso Kuypers,2,0,Action Drama Thriller 
119,Cyril Roy,2,0,Drama Fantasy 
120,Price T.-Morgan,2,0,Horror Thriller 
121,Marion Lambert,2,0,Horror Thriller 
122,Agata Trzebuchowska,2,11,Drama 
123,Aaran Thomas,2,0,Crime Drama Thriller 
124,Sheu Fang-Yi,2,0,Action Drama History 
125,Amancaya Aguilar,2,0,Documentary 
126,Victoria Sus,2,0,Drama History Music 
127,Paulo Araujo,2,0,Action Drama Thriller 
128,Ty Thomas-Reed,2,0,Action Drama Thriller 
129,Elizabeth of-Toro,2,0,Action Adventure Comedy Fantasy Fiction Science 
130,Jaime de-Hoyos,2,0,Action Crime Thriller 
131,Reinol Martinez,2,0,Action Crime Thriller 
132,Tim Burns,2,3,Action Adventure Fiction Science Thriller 
133,Tania Mallet,2,0,Action Adventure Thriller 
134,Larsen Anne,2,0,Drama 
135,Karl Bruckschwaiger,2,0,Drama Romance 
136,Remy Sweeney,2,0,Horror Mystery Thriller 
137,David McCullough,2,0,Drama History 
138,De'Shawn Washington,2,0,Crime Drama Music Romance 
139,Sergi L\u00f3pez,2,0,Drama Fantasy War 
140,Pablo Rosso,2,3,Horror Thriller 
141,William Gates,2,2,Documentary 
142,Aaron Wolff,2,2,Comedy Drama 
143,Chheda,2,0,Drama Romance 
144,Cindy Hodge,2,0,Drama 
145,Danny Lloyd,2,0,Horror Thriller 
146,Anas Wellman,2,0,Drama War 
147,Justin McGuire,2,0,Action Adventure Fiction Science 
148,Stephane Gauger,2,15,Action Adventure Fiction Science 
149,Shyann McClure,2,0,Drama Mystery Thriller 
150,Babatund\u00e9 Mike,2,0,Comedy 
151,Alex Gibney,2,1,Documentary 
152,Natalya Moteva,2,0,Drama Fiction Science 
153,Malcolm Stumpf,2,1,Comedy 
154,Rosie Shaw,2,0,Drama Fiction Science 
155,Daniel Richter,2,0,Adventure Fiction Mystery Science 
156,Elle Peterson,2,0,Drama 
157,Jennifer Sullivan,2,0,Horror Thriller 
158,Julia Winter,2,0,Adventure Comedy Family Fantasy 
159,Mari-Lou Gauthier,2,0,Adventure Animation Comedy Drama 
160,Sarah Berry,2,0,Comedy Fantasy Horror 
161,Connor Corum,2,0,Drama 
162,Sebastien Andrieu,2,0,Action Fiction Science Thriller 
163,Ida Martin,2,0,Action Fiction Science Thriller 
164,Christopher Igoe,2,0,Documentary 
165,S\u00f4 Yamamura,2,1,Action Adventure Drama History War 
166,Sarah Murdoch,2,5,Comedy Romance 
167,Julietta Novis,2,0,Animation Family Music 
168,Abigail Hargrove,3,1,Action Drama Fiction Horror Science Thriller 
169,Ray Allen,3,1,Drama 
170,Amara Miller,3,5,Comedy Drama 
171,Caerthan Banks,3,1,Drama 
172,Marlene Katz,3,2,Comedy Horror 
173,Rachel Covey,3,1,Comedy Family Fantasy Romance 
174,Khulan Chuluun,3,0,History 
175,Stacy Earl,3,0,Drama 
176,Vasily Stepanov,3,2,Action Fantasy Fiction Science Thriller 
177,Noah Ringer,3,1,Action Adventure Family Fantasy 
178,Elvis Polanski,3,0,Comedy Drama 
179,Jade Viggiano,3,0,Documentary 
180,Kahiry Bess,3,0,Documentary 
181,Lowell Landes,3,0,Drama Fantasy 
182,Ellie Grainger,3,0,Horror Mystery 
183,James Francis,3,0,Adventure Drama Fiction Mystery Science 
184,Aryana Engineer,3,0,Action Fiction Horror Science 
185,Andrew Hampton,3,0,Action Adventure Comedy Thriller 
186,James Blackwell,3,0,Drama 
187,Chase Wright-Vanek,3,0,Horror 
188,Bee Vang,3,0,Drama 
189,Daniel Studi,3,1,Adventure Animation Comedy Family Western 
190,Gilbert R.-Hill,3,0,Action Comedy Crime 
191,Loan Chabanol,3,0,Action Crime Thriller 
192,Tatjana Pajkovi\u0107,3,0,Action Crime Thriller 
193,Jay Brannan,3,2,Comedy Drama Romance 
194,Teddy Geiger,3,1,Comedy Music 
195,Sahira Nair,3,0,Drama 
196,Justin Kline,3,0,Comedy 
197,Colleen Haskell,3,0,Action Comedy 
198,Karl Hardman,3,0,Horror 
199,Alison Barry,3,0,Drama Romance 
200,Harvey Stephens,3,1,Horror Thriller 
201,Matthew A.-Brown,3,11,Crime Drama Mystery Thriller 
202,Richard Rider,3,0,Documentary 
203,James Newman,3,0,Comedy 
204,Carly Nahon,3,0,Crime Drama Thriller 
205,Thomas Horn,3,4,Drama 
206,Mickey O'Keefe,3,0,Drama 
207,Maleah Nipay-Padilla,3,0,Adventure Animation Family 
208,Dominique Louis,3,1,Action Adventure Animation Family 
209,Noah Johnston,3,0,Animation Family 
210,Denise Bixler,3,0,Comedy Fantasy Horror 
211,Richard DeManincor,3,0,Horror 
212,Glen Hansard,3,1,Drama Music Romance 
213,Hillary Clinton,3,2,Documentary 
214,Leopold Stokowski,3,1,Animation Family Music 
215,Itzhak Perlman,3,4,Animation Family Music 
216,Cammie King,3,0,Animation Drama Family 
217,Nick Rotteveel,3,0,Drama Music Romance 
218,Catherine Chan,4,0,Action Crime Thriller 
219,Ruby Barnhill,4,4,Adventure Family Fantasy 
220,Akiko Takeshita,4,0,Drama 
221,Duk Kim,4,109,Action Crime Thriller 
222,Aliya,4,0,History 
223,Jamyang Jamtsho,4,1,Adventure Drama History 
224,Meggan Lennon,4,0,Drama Fiction Science 
225,Philippe Labro,4,1,Documentary 
226,Nathaniel Brown,4,0,Drama Fantasy 
227,Masato Tanno,4,0,Drama Fantasy 
228,Darius Rose,4,0,Comedy Family 
229,Venus Schultheis,4,0,Animation 
230,Marny Eng,4,3,Comedy 
231,Jaye Davidson,4,1,Crime Drama Romance Thriller 
232,Victor Gojcaj,4,0,Crime Drama Thriller 
233,Wilt Chamberlain,4,0,Action Adventure Fantasy 
234,Aditya Roy,4,0,Romance 
235,Ahney Her,4,0,Drama 
236,Orto Ignatiussen,4,0,Drama Fiction Science Thriller 
237,Aliya ,4,0,History 
238,Neel Sethi,4,6,Adventure Drama Family Fantasy 
239,Marilyn Eastman,4,0,Horror 
240,Nati Abascal,4,0,Comedy 
241,Al Gore,4,6,Documentary 
242,Luis Fernando,4,0,Drama Fiction Science Thriller 
243,Jordan Nagai,4,1,Adventure Animation Comedy Family 
244,Tung Thanh-Tran,4,0,Comedy Drama War 
245,Markéta Irglová,4,1,Drama Music Romance 
246,Daniel Southern,4,0,Action Adventure Fantasy 
247,Cynthia Myers,4,0,Comedy Drama Thriller 
248,Kelly Reno,4,1,Adventure Family 
249,Juan Carlos,4,0,Action Comedy Crime 
250,JoJo Kushner,4,0,Comedy 
251,Juan Jos-Campanella,5,1,Adventure Animation Romance 
252,Phillips Judy,5,0,Horror Thriller 
253,Donald Austin,5,0,Documentary Foreign 
254,Kiana Tom,5,0,Action Fiction Science 
255,Jack Scanlon,5,1,Drama War 
256,Ayush Tandon,5,0,Action Adventure Drama 
257,Emma Hitching,5,0,Fiction Horror Science Thriller 
258,Paul Mann,5,2,Drama Romance 
259,Juan José-Campanella,5,1,Adventure Animation Romance 
260,Faith Wladyka,5,1,Drama Romance 
261,Harvey Scrimshaw,5,1,Horror Mystery 
262,Rochelle Davis,5,0,Action Fantasy Thriller 
263,Grace Thorsen,5,0,Comedy Horror 
264,Harriet Owen,5,0,Adventure Animation Family Fantasy 
265,Cem Y\u0131lmaz,5,0,Drama War 
266,Hans Morten,5,0,Fantasy Horror 
267,Chanel Iman,5,2,Comedy Crime Drama 
268,Miki Lee,5,0,Action Comedy Crime 
269,Adam Brooks,5,5,Comedy Romance 
270,Dax Flame,5,0,Comedy Crime 
271,Clifford Hugo,5,0,Action Adventure Fiction Science 
272,Sanoe Lake,5,1,Adventure 
273,Primorata Dejudom,5,0,Action Adventure Thriller 
274,Marshall Chapman,5,0,Drama Romance 
275,Dan Marino,5,0,Comedy Mystery 
276,Kari Keegan,5,1,Fantasy Horror Thriller 
277,Michel Beaudry,5,0,Action Comedy Crime 
278,Jack Bright,5,0,Adventure Animation Family 
279,Amy Robinson,5,3,Crime Drama 
280,Jillian Estell,5,1,Drama 
281,Guillermo D\u00edaz,5,0,Comedy Crime 
282,Joe Cocker,5,4,Documentary History Music 
283,Aaron Ruell,6,1,Comedy 
284,Rina Takasaki,6,0,Horror Thriller 
285,Michael Moore,6,1,Documentary History 
286,Samuel Joslin,6,2,Drama Thriller 
287,Atossa Leoni,6,0,Drama 
288,Jason Bonham,6,0,Comedy Drama Music 
289,Deirdre Blades,6,0,Drama Romance 
290,Jim Siedow,6,0,Horror 
291,Meredith Droeger,6,2,Drama 
292,Fergus Riordan,6,0,Action Fantasy Thriller 
293,Kelly III,6,0,Drama 
294,Michael Jordan,6,3,Animation Comedy Drama Family Fantasy 
295,Paco Christian-Prieto,6,0,Action 
296,Owen Kline,6,9,Comedy Drama 
297,Dave England,6,0,Comedy Documentary 
298,Lari White,6,0,Adventure Drama 
299,Bobby Batson,6,0,Drama 
300,Gemmenne de,6,0,Comedy Drama 
301,Arthur Agee,6,0,Documentary 
302,Pauline Brunner,6,0,Animation Comedy Drama Family 
303,Maurice Orozco,6,0,Drama 
304,Eru Potaka-Dewes,6,0,Adventure 
305,Wendy Talley,6,0,Comedy 
306,Darlene Cates,6,2,Drama Romance 
307,Mary Gibbs,6,0,Animation Comedy Family 
308,Gerald R.-Molen,6,1,Drama 
309,Adriana Caselotti,6,0,Animation Family Fantasy 
310,Katy Barker,7,0,Action Crime Drama 
311,Ernest Liu,7,0,Action Crime Horror Thriller 
312,Rohan Chand,7,0,Comedy Drama 
313,Bronwen Coleman,7,0,Crime Drama 
314,Ninja Yolandi,7,0,Action Crime Fiction Science 
315,Zineb Oukach,7,0,Drama Thriller 
316,Scott Charles,7,0,Comedy Crime Drama Fiction Romance Science Thriller 
317,Gerard Kearney,7,0,Drama History War 
318,Panward Hemmanee,7,0,Action Crime Thriller 
319,Darryl Cooksey,7,0,Adventure Drama Family Fantasy 
320,Zhanna Friske,7,12,Action Fantasy Thriller 
321,Tatum Etheridge,7,0,Drama Romance 
322,Hadley Belle-Miller,7,1,Animation 
323,Pfeifer Brown,7,0,Horror Thriller 
324,Gina Montana,7,0,Drama Fantasy 
325,Daniel Tay,7,0,Action Comedy Drama Family Fantasy Thriller 
326,Nick Castle,7,8,Horror Thriller 
327,James Russell,7,0,Horror Mystery Thriller 
328,Riaad Moosa,7,0,Drama History 
329,Chris Miller,7,1,Adventure Animation Comedy Family 
330,Sarah Dubrovsky,7,0,Drama 
331,Skandar Keynes,7,4,Adventure Family Fantasy 
332,David Ellison,7,0,Action Adventure Drama History Romance 
333,Rie Rasmussen,7,1,Crime Romance Thriller 
334,PJ DeBoy,7,1,Comedy Drama Romance 
335,Marc Akerstream,7,0,Action Comedy Crime Thriller 
336,Nathan Corbett,7,0,Drama 
337,Zenzo Ngqobe,7,1,Crime Drama 
338,Jeffrey Rogers,7,0,Horror Thriller 
339,Yolandi Visser,7,0,Action Crime Fiction Science 
340,Tom Yang,7,0,Documentary 
341,Dorothy Stratten,7,0,Comedy Fiction Science 
342,Kipley Wentz,7,0,Horror Thriller 
343,Hayley Orrantia,7,1,Drama 
344,Sapphire Boyce,7,1,Drama Family Foreign 
345,Rebekah Johnson,7,2,Comedy Drama Romance 
346,Marcia McBroom,7,0,Comedy Drama Thriller 
347,Tamara Toumanova,7,0,Mystery Thriller 
348,Mary Badham,7,1,Crime Drama 
349,Mark Walton,7,1,Adventure Animation Comedy Family 
350,Dan Molina,7,1,Animation Comedy Family 
351,Albert Daniels,7,0,Drama 
352,Miyavi,8,0,Drama War 
353,Thomas Robinson,8,0,Adventure Family Fiction Mystery Science 
354,Wallace Wolodarsky,8,2,Adventure Animation Comedy Family 
355,Matthew-Lee Erlbach,8,0,Drama Fiction Science 
356,Lauren Esposito,8,0,Horror 
357,Shannon Eagen,8,0,Drama 
358,Hubertus Bengsch,8,0,Action Adventure Drama History War 
359,Andrew Jacobs,8,0,Horror Thriller 
360,Michael Irvin,8,1,Comedy Drama 
361,Spiros FocLeon,8,20,Action Adventure Thriller War 
362,Mariane Plasteig,8,0,Drama Romance 
363,Charlie Korsmo,8,5,Action Adventure Comedy Crime Drama Romance Thriller 
364,Isaac-Kennedystegui Daniella,8,0,Action Comedy Family 
365,Robert Paterson,8,0,Drama Mystery Thriller 
366,Anthony Dileo-Jr.,8,0,Fiction Horror Science 
367,John Cazale,8,1,Crime Drama Mystery War 
368,Barney Clark,8,1,Crime Drama Family 
369,Scott Dymond,8,0,Drama Fiction Science Thriller 
370,Adam Greaves-Neal,8,0,Drama 
371,Ben Burtt,8,2,Animation Family 
372,Becca Gardner,8,0,Drama 
373,Paul Kratka,8,0,Horror Thriller 
374,Max Records,8,8,Comedy Family Fantasy 
375,Miyavi ,8,0,Drama War 
376,William Shimell,8,0,Drama Romance 
377,Dan Yeager,8,0,Horror Thriller 
378,Claire Adams,8,0,Drama Romance War 
379,Mia Xitlali,8,2,Adventure Drama Family 
380,Courtney Eaton,8,1,Fantasy 
381,Polly Noonan,8,0,Comedy Crime Thriller 
382,Ellen Hamilton-Latzen,8,0,Drama Romance Thriller 
383,Logan Polish,8,0,Adventure Comedy Drama Fiction Science 
384,Trish Gates,8,0,Action Crime Drama History Thriller 
385,Jackson Bond,8,1,Fiction Science Thriller 
386,Miguel Castro,8,0,Drama Romance 
387,Phillip Alford,8,0,Crime Drama 
388,Heidi Kling,8,0,Comedy Family 
389,Harry Stockwell,8,0,Animation Family Fantasy 
390,Donnie Dunagan,8,0,Animation Drama Family 
391,Daren Kagasoff,9,6,Horror 
392,Allie Mickelson,9,0,Crime Drama 
393,Sidney Johnston,9,0,Drama Horror Thriller 
394,Cyndi Mayo-Davis,9,0,Drama Fantasy 
395,Asefa,9,0,Action Thriller War 
396,Isaac Hempstead-Wright,9,6,Animation Comedy Family Fantasy Horror Thriller 
397,Heidi Hayes,9,1,Crime Drama Thriller 
398,Christopher Jordan-Wallace,9,0,Comedy Drama Romance 
399,Brady Allen,9,0,Horror 
400,Keene McRae,9,0,Drama 
401,Claire Geare,9,0,Action Thriller 
402,O'Shea Jackson,9,9,Drama Music 
403,Oliver James,9,0,Drama Music Romance 
404,Levy Easterly,9,0,Drama Fantasy 
405,Mark Caso,9,0,Action Adventure Comedy Family Fantasy 
406,Christopher Hart,9,0,Comedy Horror Thriller 
407,Nancy Kyes,9,0,Horror Thriller 
408,Jimmy Dean,9,1,Action Adventure Thriller 
409,Chris Pontius,9,1,Action Comedy Documentary 
410,Dzana Pinjo,9,0,Drama Romance War 
411,Sari Lennick,9,3,Comedy Drama 
412,Michael Rainey-Jr.,9,2,Drama 
413,Melanie Kinnaman,9,0,Horror Thriller 
414,Kenn Scott,9,0,Action Adventure Comedy Family Fiction Science 
415,Gaelan Connell,9,0,Comedy Drama Family Music 
416,Ginette Reno,9,8,Comedy Romance 
417,Duane Jones,9,0,Horror 
418,Sean Kingston,9,1,Documentary Family Music 
419,Bob Tracey,9,0,Drama Horror Mystery 
420,DJ Pooh,9,0,Action Comedy 
421,Josh Wiggins,9,2,Adventure Drama Family 
422,Lucy Deakins,9,2,Comedy Drama 
423,Mark Patton,9,2,Horror 
424,Teo Halm,9,0,Adventure Family Fiction Science 
425,Jasper Polish,9,0,Adventure Comedy Drama Fiction Science 
426,Alexander Asefa,9,0,Action Thriller War 
427,Kathryn McCormick,9,0,Drama Music Romance 
428,Dolly Read,9,0,Comedy Drama Thriller 
429,Andy Kaufman,9,2,Comedy Family Romance 
430,Richie Havens,9,1,Documentary History Music 
431,Bud Luckey,9,1,Animation Family 
432,Katie Sagona,9,0,Comedy Romance 
433,Justin Guarini,10,7,Comedy Romance 
434,Robert Amaya,10,1,Comedy 
435,Alex Kendrick,10,6,Drama 
436,Robert Daniel-Sloan,10,0,Horror 
437,Jared Gilman,10,10,Comedy Drama Romance 
438,Moa Khouas,10,1,Drama Thriller 
439,Veronica Russell,10,0,Drama Romance 
440,Erica Gluck,10,0,Horror Mystery Thriller 
441,Katie Jarvis,10,11,Drama 
442,Jasper Newell,10,0,Drama Thriller 
443,Norah Jones,10,18,Drama Romance 
444,Ariel Gade,10,2,Action Fantasy Fiction Horror Science Thriller 
445,Hawkins Jason,10,0,Drama Music 
446,Feryna Wazheir,10,0,Action Drama History Thriller 
447,Gio Perez,10,0,Action 
448,Courtney Barilla,10,1,Adventure Drama Romance 
449,Brandon Lee,10,3,Action Fantasy Thriller 
450,Lotte Lenya,10,1,Action Adventure Thriller 
451,Lisa Barbuscia,10,0,Action Fantasy Fiction Science 
452,Tracy Goode,10,0,Drama 
453,Ben Drew,10,3,Action Crime Drama 
454,Hudson Meek,10,0,Drama 
455,Jacob Lofland,10,3,Action Drama History Thriller War 
456,Jennifer Paige,10,0,Comedy Drama 
457,LaJessie Smith,10,0,Drama 
458,Cory Hodges,10,0,Drama Romance 
459,Tanay Chheda,10,3,Drama Romance 
460,Jacob Davich,10,1,Comedy 
461,Alexander Godunov,10,0,Action Thriller 
462,Rob Devaney,10,0,Drama War 
463,Shareeka Epps,10,19,Drama 
464,Mia Moretti,10,0,Documentary Music 
465,Aleksandr Chutko,10,0,Drama Fiction Science 
466,Kate Upton,10,5,Comedy Romance 
467,Tai Thai,10,0,Action Crime Drama Thriller 
468,Chloe Hollings,10,2,Documentary 
469,Sami Gayle,10,2,Action Crime Drama Thriller 
470,Jean Michel-Pare,10,0,Action Adventure Comedy Family Fiction Science 
471,Jennifer Cooke,10,1,Horror Mystery Thriller 
472,Gale Hansen,10,0,Drama 
473,Alonna Shaw,10,0,Action Crime Drama Thriller 
474,Tasha de-Vasconcelos,10,0,Action Adventure Comedy 
475,China Chow,10,0,Action Adventure Comedy Thriller 
476,Taylor Dooley,10,1,Adventure Family Fiction Science 
477,James Anderson,10,3,Crime Drama 
478,Kevon Kane,10,0,Drama Fiction Science Thriller 
479,Arlo Guthrie,10,2,Documentary History Music 
480,Paul Kandel,10,1,Animation Drama Family 
481,Frank Pietrangolare,10,0,Action Comedy Crime Drama 
482,Axel Kuschevatzky,11,3,Adventure Animation Romance 
483,Kate Bayley,11,0,Comedy Drama 
484,Kate Shindle,11,0,Crime Drama 
485,Ba Sen,11,0,History 
486,Oaklee Pendergast,11,2,Drama Thriller 
487,Maude Apatow,11,2,Comedy 
488,Nicolas Martinez,11,0,Action Adventure Horror Thriller 
489,Gabriella Wilde,11,0,Drama Romance 
490,Seth Ginsberg,11,0,Horror Thriller 
491,Alec Wilson,11,0,Adventure Comedy 
492,Oanh Nguyen,11,0,Adventure Drama Family 
493,Jaran 'See-Tao'-Petcharoen,11,1,Adventure Drama Family 
494,Aitana SLeon,11,0,Drama Thriller 
495,Sophie Vavasseur,11,2,Action Fiction Horror Science 
496,Kyle Catlett,11,3,Adventure Drama Family 
497,Blake Cooper,11,1,Action Fiction Mystery Science Thriller 
498,Rachel Korine,11,1,Crime Drama 
499,Elizabeth Hunter,11,0,Drama 
500,Alf Larsen,11,0,Fantasy Horror 
501,Loreto Peralta,11,3,Comedy Drama 
502,Jessica Lindsey,11,0,Comedy Drama 
503,Scarlett Estevez,11,1,Comedy 
504,Kirsten Baker,11,0,Horror Thriller 
505,Phellipe Haagensen,11,1,Crime Drama 
506,Leif Tilden,11,5,Action Adventure Comedy Family Fiction Science 
507,Amila Terzimehic,11,0,Action Crime Thriller 
508,Shon Greenblatt,11,1,Comedy Horror Thriller 
509,Jessica Brooks-Grant,11,0,Drama Fantasy Romance 
510,Sandra Rodr\u00edguez,11,0,Drama 
511,Chris Colfer,11,1,Documentary Family Music 
512,Courtney Fansler,11,0,Drama 
513,Natalie Imbruglia,11,7,Action Adventure Comedy 
514,Max Baldry,11,1,Comedy Family 
515,Mark Brady,11,0,Adventure Comedy Family Fantasy 
516,Alessandro Lindblad,11,0,Drama Music Romance 
517,Lorraine Nicholson,12,3,Action Drama 
518,Wiley Wiggins,12,1,Comedy Drama 
519,Diego Sieres,12,0,Action Adventure 
520,Juan Inciarte,12,1,Fiction Science Thriller 
521,Alicia Vela-Bailey,12,6,Horror Thriller 
522,Tao Okamoto,12,0,Action Adventure Fantasy Fiction Science 
523,Charlotte Frogner,12,2,Comedy Horror 
524,Steve Harvey,12,1,Comedy Family 
525,Jennifer Schwalbach,12,0,Comedy 
526,Noah Schnapp,12,7,Animation 
527,Aiden Lovekamp,12,1,Horror 
528,Robert Schwartzman,12,4,Comedy Family Romance 
529,Hunter Carson,12,3,Fiction Science 
530,Laura Vasiliu,12,3,Drama 
531,Zoe Sloane,12,0,Documentary 
532,John Paisley,12,0,Drama History War 
533,Dwight Henry,12,18,Drama Fantasy 
534,Peter Marquardt,12,0,Action Crime Thriller 
535,Jonah Bobo,12,2,Adventure Family Fantasy Fiction Science 
536,Lindsay Ridgeway,12,0,Animation Comedy Family Music 
537,D.J. Cotrona,12,0,Action Adventure Fiction Science Thriller 
538,Jay R.,12,0,Drama Romance 
539,Georgie Henley,12,13,Adventure Family Fantasy 
540,Paul Wilson,12,0,Comedy Romance 
541,Paul Brannigan,12,3,Drama Fiction Science Thriller 
542,Frederique van-der-Wal,12,0,Drama Romance 
543,Elena Kampouris,12,0,Comedy Family Romance 
544,Michael Higgenbottom,12,1,Drama 
545,Willow Smith,12,8,Action Drama Fiction Horror Science Thriller 
546,Madison Eginton,12,0,Drama Mystery 
547,Jonathan Ke-Quan,12,3,Action Adventure 
548,Jakob Salvati,12,1,Comedy Drama War 
549,Ryan Dunn,12,2,Action Comedy Documentary 
550,Bob Zmuda,12,3,Comedy Drama Romance 
551,Jenn Proske,12,0,Comedy Horror 
552,Marion Darlington,12,0,Animation Family 
553,Adam Lamberg,12,3,Comedy Family 
554,Ayano Fukuda,12,0,Animation Fiction Science 
555,Jennifer Schwalbach-Smith,12,0,Comedy 
556,Jolie Vanier,12,10,Comedy Family 
557,Ana Coto,13,0,Horror 
558,Robert MacNaughton,13,1,Adventure Family Fantasy Fiction Science 
559,Michael Par\u00e9,13,6,Drama Romance 
560,Jackson Nicoll,13,1,Comedy 
